ID,ClientProfile,InvoiceNumber,Product,AmountInINR,InvoiceDate: Day,Period,Product → Name
69a0d4ba83b86c0011039502,66d079a87b85c600121af032,80693,67ed22f08812861b905e5c06,"36,356","Friday, February 27, 2026",YEARLY,Accounts E-Invoicing
69a0fe64cef6810018357f76,6188e14fb773d50012681204,80694,67ed22ef8812861b905e55ae,"6,439","Friday, February 27, 2026",QUATERLY,Accounts Lite
69a116a083b86c0011068f93,6711fde1d431d20041e5df15,80695,67ed22ef8812861b905e55ae,"6,844","Friday, February 27, 2026",YEARLY,Accounts Lite
69a11f1b11ba9400184d7d62,665a77afad80ed0032e5a6ee,2025-26/MY/00063,67ed22ef8812861b905e55ae,"2,739","Friday, February 27, 2026",QUATERLY,Accounts Lite
69a12ad94a3c730012364462,699c0d9bda6aea00189ec4f9,80697,68da88e49da3e16b92877a41,"18,660","Friday, February 27, 2026",YEARLY,Workflows
69a12eec4a3c730012369322,68b6ba3d9401b6005771a72e,80698,67ed22ef8812861b905e55ae,"1,225","Friday, February 27, 2026",MONTHLY,Accounts Lite
69a131b4cef681001840bd41,6264d4884072bc001293cb18,80699,67ed22ef8812861b905e55ae,"11,681","Friday, February 27, 2026",3YEARLY,Accounts Lite
69a13230507772002adf8567,64d1ed5c27071800113e8f8a,80700,65cc64881cfc439f4e6d7b5d,"9,676","Friday, February 27, 2026",YEARLY,Starter Plus
69a1367683b86c0011141d1a,698c2dbeb7884a00111d4bdd,80701,65cc64881cfc439f4e6d7b5d,"1,770","Friday, February 27, 2026",YEARLY,Starter Plus
69a13729a72aaa002673016e,67e16e01391c3600fb7d13b1,80702,65cc64881cfc439f4e6d7b5d,"2,596","Friday, February 27, 2026",YEARLY,Starter Plus
69a138435a9609001fcea968,691ed6c879538e001f1acf9c,80703,65cc64871cfc439f4e6d7901,"1,200","Friday, February 27, 2026",YEARLY,Books Starter (Quotations)
69a14328ebea7700117f00a4,675929f6899a770027330347,2025-26/MY/00064,67ed22ef8812861b905e55ae,"4,682","Friday, February 27, 2026",YEARLY,Accounts Lite
69a1482b11ba94001864b3df,61b44f3c5f47330014ee8217,80704,67ed22ef8812861b905e55ae,"5,782","Friday, February 27, 2026",YEARLY,Accounts Lite
69a148e7ebea770011829ed5,661f659db19420002b63c4ff,80705,67ed22ef8812861b905e55ae,"6,844","Friday, February 27, 2026",YEARLY,Accounts Lite
69a14a225a9609001fd88518,5fa5adb2ea1c9e706a48f1bb,80706,67ed22f08812861b905e5a7d,"47,200","Friday, February 27, 2026",LIFETIME,Accounts
69a14b6f20db5e001f9490b2,68fc8108c76c680048fe3f2b,80707,65cc64881cfc439f4e6d7b5d,"3,540","Friday, February 27, 2026",YEARLY,Starter Plus
69a14ffd4a3c730012386107,6820bf386a7514002e2e0ce3,80708,67ed22f08812861b905e5a7d,"41,300","Friday, February 27, 2026",3YEARLY,Accounts
69a1572c507772002af5ae8b,66e7eaf496252d00124e3d94,80709,67ed22ef8812861b905e55ae,"18,797","Friday, February 27, 2026",3YEARLY,Accounts Lite
69a15cff4a3c73001238dc10,698ce106b9d1b70011d34ee4,80710,67ed22ef8812861b905e55ae,"9,906","Friday, February 27, 2026",YEARLY,Accounts Lite
69a16a71507772002aff8693,66bb32949469ba00128817e3,80711,65cc64881cfc439f4e6d7b5d,"4,247","Friday, February 27, 2026",YEARLY,Starter Plus
69a16d8d10e609a7a723d43a,6713a6f194e70a004ce7bc6b,80712,67ed22ef8812861b905e55ae,"5,782","Friday, February 27, 2026",YEARLY,Accounts Lite
69a16f3aebea7700119923db,67946feffac3320027b8887c,80713,65cc64881cfc439f4e6d7b5d,"8,000","Friday, February 27, 2026",3YEARLY,Starter Plus
69a1710c2daeaa95dc6d9188,698af3497803da001fc463d7,80714,65cc64881cfc439f4e6d7b5d,"5,000","Friday, February 27, 2026",YEARLY,Starter Plus
69a1720ad24f8f00113a84de,63e0d0130819020019ea9bb3,80715,67ed22f08812861b905e5a7d,"111,394","Friday, February 27, 2026",YEARLY,Accounts
69a173ff20db5e001facf669,67488ec358b5da017fe8454c,80716,68da88e59da3e16b92878049,"15,000","Friday, February 27, 2026",YEARLY,Operations
69a177ac5a9609001ff34557,68359c378cf079002e695cc7,80717,67ed22ef8812861b905e55ae,699,"Friday, February 27, 2026",MONTHLY,Accounts Lite
69a17c415a9609001ff65243,680dd8ca4fac560043681b4a,80718,68da88e59da3e16b92878049,"72,761","Friday, February 27, 2026",LIFETIME,Operations
69a17c8d507772002a0d0f46,67c72806470d880027c712ef,80719,67ed22ef8812861b905e55ae,"7,007","Friday, February 27, 2026",YEARLY,Accounts Lite
69a17f1ba9f0bb19793262ae,68a5718ae94d8800413450fc,80720,65cc64881cfc439f4e6d7b5d,"4,720","Friday, February 27, 2026",YEARLY,Starter Plus
