ID,ClientProfile,InvoiceNumber,Product,AmountInINR,InvoiceDate: Day,Period,Product → Name
69a1e9ad5a9609001f13ec86,66235271220bfc0020ca1db2,80738,67ed22ef8812861b905e55ae,"1,365","Saturday, February 28, 2026",MONTHLY,Accounts Lite
69a277d45a9609001f1f5734,63b4311400dbc3001191b73f,2025-26/MY/00065,67ed22ef8812861b905e55ae,"2,190","Saturday, February 28, 2026",QUATERLY,Accounts Lite
69a27f495a9609001f229d4d,696cf9bb46bbeb001f27ec0f,80739,67ed22ef8812861b905e55ae,"4,099","Saturday, February 28, 2026",YEARLY,Accounts Lite
69a27f884a3c7300123ea93c,684a71370532900027ccf44f,80740,67ed22ef8812861b905e55ae,"1,225","Saturday, February 28, 2026",MONTHLY,Accounts Lite
69a27fa2d24f8f00113f4e0a,6697f9babfc5b30019c30e43,80741,67ed22ef8812861b905e55ae,"1,366","Saturday, February 28, 2026",MONTHLY,Accounts Lite
69a27fe74a3c7300123eb8a4,6436ca3141bf65001249fba7,80742,67ed22ef8812861b905e58bc,"44,840","Saturday, February 28, 2026",LIFETIME,Accounts GST
69a2801a4a3c7300123ec831,699a72bcda6aea0018637772,80743,67ed22f08812861b905e5a7d,"1,296","Saturday, February 28, 2026",QUATERLY,Accounts
69a2803bd24f8f00113f65c8,6841f8ded61fa8004309868d,80744,68da88e49da3e16b928775bb,"1,821","Saturday, February 28, 2026",MONTHLY,Accounts Core
69a284b6d24f8f00113fb103,67e3a722f08f450020a1e2b5,80745,67ed22ef8812861b905e55ae,"10,620","Saturday, February 28, 2026",3YEARLY,Accounts Lite
69a285bbebea770011cd73cc,64cbe12f155539001117405a,80746,67ed22ef8812861b905e55ae,"5,899","Saturday, February 28, 2026",YEARLY,Accounts Lite
69a286dea72aaa0026c43a15,6485d34f8ff629001208a55c,80747,67ed22ef8812861b905e55ae,"2,437","Saturday, February 28, 2026",QUATERLY,Accounts Lite
69a288924a3c7300123f53b5,68ef8df1b7d73300570565f8,80748,68da88e89da3e16b92879869,"35,400","Saturday, February 28, 2026",YEARLY,"Workflows, CRM Pro & Inventory"
69a28a625a9609001f261c73,6898ce4e28a0000032e595e1,80749,67ed22ef8812861b905e55ae,"10,000","Saturday, February 28, 2026",3YEARLY,Accounts Lite
69a28bfeebea770011d01dde,65f56bb1ba759801a01dcfff,80750,65cc64881cfc439f4e6d7a2f,"3,540","Saturday, February 28, 2026",3YEARLY,Books Starter (Invoices)
69a28e34ebea770011d10d03,68d66900ffb98300192c1170,80751,67ed22ef8812861b905e55ae,"9,706","Saturday, February 28, 2026",YEARLY,Accounts Lite
69a28eb0cef6810018970e9d,69248f9a716ab100117f0c72,80752,67ed22ef8812861b905e55ae,"8,000","Saturday, February 28, 2026",3YEARLY,Accounts Lite
69a29ab35a42e5d85ab009d4,65e5dac62e882e00192703f2,80754,65cc64881cfc439f4e6d7b5d,"2,551","Saturday, February 28, 2026",YEARLY,Starter Plus
69a29d7a11ba940018bbe632,698ae6bf82ca410011df4925,80755,67ed22ef8812861b905e55ae,"5,570","Saturday, February 28, 2026",YEARLY,Accounts Lite
69a29ee25a9609001f2fef8c,673726fbaaf1e900da5545bc,80756,65cc64881cfc439f4e6d7b5d,"2,200","Saturday, February 28, 2026",YEARLY,Starter Plus
69a2a01183b86c001173e22c,696ba14db8bdd60018c5a0f1,80757,68da88e49da3e16b928775bb,"11,940","Saturday, February 28, 2026",YEARLY,Accounts Core
69a2a3c34a3c73001240d974,699c8a7887eb800011cd612c,80758,68da88e49da3e16b928775bb,"6,000","Saturday, February 28, 2026",YEARLY,Accounts Core
69a2a4785a9609001f32ad4c,68d425681e7ce00057ef89b1,80759,67ed22ef8812861b905e55ae,743,"Saturday, February 28, 2026",MONTHLY,Accounts Lite
69a2a5fdcef6810018a259c4,66a1f5a363f1ac00fbd73913,80760,65cc64881cfc439f4e6d7b5d,"5,900","Saturday, February 28, 2026",3YEARLY,Starter Plus
69a2a817507772002a49274d,665dab2a1b1fe100322f502f,80761,67ed22ef8812861b905e55ae,"5,546","Saturday, February 28, 2026",YEARLY,Accounts Lite
69a2a9cbd24f8f001141d7da,6974e05277d4f800110e9529,80762,67ed22ef8812861b905e55ae,"12,911","Saturday, February 28, 2026",YEARLY,Accounts Lite
69a2adc3cef6810018a6d650,6984be940013eb001139e7b3,80763,67ed22ef8812861b905e55ae,"4,500","Saturday, February 28, 2026",YEARLY,Accounts Lite
69a2af8511ba940018c487fc,66f3a4ad70ec340020371bea,80764,65cc64881cfc439f4e6d7b5d,"7,080","Saturday, February 28, 2026",3YEARLY,Starter Plus
69a2b1274a3c730012417b70,676a59e484e155003c6fba2f,80765,67ed22f08812861b905e5a7d,"35,400","Saturday, February 28, 2026",3YEARLY,Accounts
69a2b5044a3c73001241a96b,686ce617a85de7003d7508c4,2025-26/MY/00066,67ed22ef8812861b905e55ae,819,"Saturday, February 28, 2026",MONTHLY,Accounts Lite
69a2b75683b86c00117ee1be,6985a7a4d54cd8002a1f3e58,80766,67ed22ef8812861b905e58bc,"11,800","Saturday, February 28, 2026",YEARLY,Accounts GST
69a2bbeeebea770011e6891d,68d3a24baec9940041b4c06b,80767,65cc64881cfc439f4e6d7b5d,"2,950","Saturday, February 28, 2026",YEARLY,Starter Plus
69a2bd884a3c730012421079,5fb62390f2829c5eb3b9f50b,80768,67ed22ef8812861b905e55ae,"11,564","Saturday, February 28, 2026",3YEARLY,Accounts Lite
69a2c1ae4a3c730012424a98,5ec0d219a0cea363f5d228f9,80769,67ed22ef8812861b905e55ae,"5,074","Saturday, February 28, 2026",YEARLY,Accounts Lite
69a2c3aea72aaa0026e09005,67b59933f2620b0043cf191d,80770,67ed22ef8812861b905e55ae,"5,546","Saturday, February 28, 2026",YEARLY,Accounts Lite
69a2c68811ba940018d0dfb2,68ad736c4fe0bb0020951c46,80771,65cc64881cfc439f4e6d7b5d,"4,720","Saturday, February 28, 2026",3YEARLY,Starter Plus
69a2c73b6a7de2fea03377ef,696a3d9888e6380011895b21,80772,65cc64881cfc439f4e6d7b5d,"2,010","Saturday, February 28, 2026",YEARLY,Starter Plus
69a2ca09507772002a59f5b9,641d999b21eb940011af3cc9,80773,64c15973bf9d64959f848e3b,"1,200","Saturday, February 28, 2026",YEARLY,Freelancer
69a2d27dcef6810018b70abd,69a2b32cebea770011e1c9ad,80774,65cc64881cfc439f4e6d7b5d,"1,500","Saturday, February 28, 2026",YEARLY,Starter Plus
69a2d3464a3c730012432897,6991a649f3897c001f34ae34,80775,64c15973bf9d64959f848e3b,"1,500","Saturday, February 28, 2026",YEARLY,Freelancer
69a2d64eebea770011f0e6b8,69a2b7d783b86c00117f3462,80776,65cc64881cfc439f4e6d7b5d,"1,500","Saturday, February 28, 2026",YEARLY,Starter Plus
69a2daf711ba940018d8163c,6964e94f5ba460001f089210,80777,67ed22ef8812861b905e55ae,"1,218","Saturday, February 28, 2026",QUATERLY,Accounts Lite
